date,region,tasmax_c,tasmin_c,source,frequency
2016-01-01,London,9.95415,0.78541,ceda_hadukgrid_region,daily
2016-01-02,London,10.87211,2.21247,ceda_hadukgrid_region,daily
2016-01-03,London,9.04724,4.89992,ceda_hadukgrid_region,daily
2016-01-04,London,10.38715,4.78156,ceda_hadukgrid_region,daily
2016-01-05,London,10.09688,5.34052,ceda_hadukgrid_region,daily
2016-01-06,London,8.71121,4.31867,ceda_hadukgrid_region,daily
2016-01-07,London,10.17175,5.0663,ceda_hadukgrid_region,daily
2016-01-08,London,9.52892,0.86351,ceda_hadukgrid_region,daily
2016-01-09,London,10.79563,3.96171,ceda_hadukgrid_region,daily
2016-01-10,London,8.74764,5.17978,ceda_hadukgrid_region,daily
2016-01-11,London,7.10992,4.13049,ceda_hadukgrid_region,daily
2016-01-12,London,7.14412,3.44618,ceda_hadukgrid_region,daily
2016-01-13,London,6.99367,2.33555,ceda_hadukgrid_region,daily
2016-01-14,London,5.08045,1.73313,ceda_hadukgrid_region,daily
2016-01-15,London,5.61854,0.722,ceda_hadukgrid_region,daily
2016-01-16,London,4.81702,-0.82648,ceda_hadukgrid_region,daily
2016-01-17,London,4.2808,-0.67882,ceda_hadukgrid_region,daily
2016-01-18,London,4.78909,0.81767,ceda_hadukgrid_region,daily
2016-01-19,London,5.60481,-3.63953,ceda_hadukgrid_region,daily
2016-01-20,London,6.71866,-4.19223,ceda_hadukgrid_region,daily
2016-01-21,London,7.82577,-3.11603,ceda_hadukgrid_region,daily
2016-01-22,London,10.36461,1.8989,ceda_hadukgrid_region,daily
2016-01-23,London,11.85621,3.38596,ceda_hadukgrid_region,daily
2016-01-24,London,14.67901,4.80635,ceda_hadukgrid_region,daily
2016-01-25,London,13.37583,9.16585,ceda_hadukgrid_region,daily
2016-01-26,London,12.44058,5.33754,ceda_hadukgrid_region,daily
2016-01-27,London,13.08045,9.0759,ceda_hadukgrid_region,daily
2016-01-28,London,11.38767,1.6878,ceda_hadukgrid_region,daily
2016-01-29,London,11.8803,2.86676,ceda_hadukgrid_region,daily
2016-01-30,London,7.99911,7.25295,ceda_hadukgrid_region,daily
2016-01-31,London,13.21244,3.72953,ceda_hadukgrid_region,daily
2016-02-01,London,13.81494,5.92247,ceda_hadukgrid_region,daily
2016-02-02,London,10.26423,8.11538,ceda_hadukgrid_region,daily
